"COL0","COL1"
"3520",4334.40
"35200002",7063.50
"35200003",7158.10
"35200004",7868.90
"35200005",9209.90
"35200006",9213.30
"35200007",8436.70
"35200009",4592.50
"35200010",7569.10
"35200012",10589.50
"35200013",8082.20
"35200018",2820.70
"35200028",9467.70
"35200029",8552.00
"35200030",5432.70
"35200031",4928.80
"35200032",2985.30
"35200033",4816.00
"35200034",1280.60
"35200035",5924.30
"35200036",6791.00
"35200037",5370.40
"35200039",5080.90
"35200041",4061.20
"35200042",4050.60
"35200043",718.20
"35200044",8297.90
"35200046",8331.50
"35200047",17615.70
"35200048",10524.10
"35200049",10125.20
"35200050",1840.40
"35200051",7001.50
"35200052",2322.40
"35200053",6402.40
"35200054",3321.30
"35200055",4710.10
"35200056",347.50
"35200057",10081.30
"35200058",11363.60
"35200062",5575.40
"35200064",4615.40
"35200065",6710.10
"35200066",5948.30
"35200067",6101.90
"35200068",8926.70
"35200069",5125.70
"35200070",7798.00
"35200071",8273.20
"35200072",3128.20
"35200073",6842.10
"35200074",6713.50
"35200078",4537.30
"35200079",12772.80
"35200080",1973.10
"35200082",6990.10
"35200085",4332.50
"35200086",4566.70
"35200087",3448.50
"35200088",4412.00
"35200089",3776.90
"35200090",4399.10
"35200091",7705.90
"35200092",4284.10
"35200093",4327.70
"35200094",220.80
"35200095",7271.50
"35200096",7821.40
"35200097",8201.20
"35200099",7514.10
"35200100",4466.00
"35200101",6637.10
"35200102",3325.90
"35200103",4929.80
"35200104",5199.00
"35200105",6834.80
"35200106",5110.40
"35200107",5632.80
"35200108",7392.00
"35200109",3093.50
"35200110",7016.10
"35200111",8678.00
"35200112",7384.60
"35200114",6219.80
"35200115",6848.40
"35200116",7388.30
"35200117",8463.00
"35200118",8602.90
"35200119",8412.30
"35200120",6256.10
"35200121",8069.60
"35200123",6456.60
"35200124",5215.30
"35200125",9684.70
"35200126",9920.80
"35200127",8055.00
"35200128",1664.80
"35200133",5613.90
"35200134",5192.90
"35200135",8571.40
"35200136",8408.70
"35200137",7337.30
"35200138",8713.80
"35200139",201.70
"35200140",224.10
"35200141",4246.80
"35200142",6953.70
"35200143",6278.30
"35200144",1199.80
"35200145",12117.10
"35200146",7766.40
"35200147",3576.60
"35200148",3192.20
"35200149",4060.80
"35200150",13123.20
"35200161",8099.30
"35200162",7031.10
"35200163",4091.50
"35200164",2800.50
"35200165",4659.90
"35200166",4077.30
"35200167",4316.30
"35200173",7114.30
"35200174",5719.60
"35200175",3456.40
"35200176",6789.90
"35200177",1280.20
"35200178",5198.90
"35200179",1458.20
"35200180",4595.40
"35200181",6435.10
"35200182",8537.60
"35200183",3749.10
"35200186",7273.80
"35200187",5400.70
"35200188",12543.10
"35200189",4082.20
"35200190",4241.10
"35200193",2644.60
"35200196",1706.40
"35200197",3788.60
"35200198",3485.70
"35200199",4074.10
"35200200",2562.40
"35200201",3978.80
"35200202",2898.30
"35200203",2799.80
"35200204",5441.10
"35200205",4707.50
"35200206",3408.60
"35200207",3269.20
"35200208",3818.80
"35200209",6825.70
"35200210",2998.30
"35200211",7328.80
"35200212",4059.70
"35200213",3077.30
"35200214",3342.10
"35200215",2224.70
"35200216",2447.60
"35200217",2959.80
"35200218",1160.60
"35200219",3220.50
"35200220",1865.90
"35200221",5053.20
"35200222",12270.70
"35200223",3777.00
"35200224",4103.50
"35200232",10308.60
"35200233",3043.50
"35200234",5021.90
"35200235",2536.20
"35200236",4121.30
"35200237",4371.30
"35200238",1368.60
"35200239",3695.90
"35200242",3371.70
"35200243",4188.10
"35200244",4014.00
"35200245",7325.30
"35200246",3616.80
"35200249",5256.40
"35200250",5108.80
"35200251",3009.60
"35200252",3853.00
"35200253",2770.00
"35200254",2913.20
"35200255",2390.40
"35200256",5507.40
"35200260",3002.00
"35200261",5512.70
"35200262",5938.90
"35200263",4185.80
"35200264",6335.00
"35200265",3251.40
"35200266",3834.90
"35200267",8249.80
"35200268",13643.00
"35200269",7636.80
"35200271",17613.60
"35200272",17043.60
"35200273",70492.50
"35200275",3008.90
"35200278",2679.40
"35200279",3676.10
"35200280",15475.00
"35200281",7700.10
"35200284",19783.10
"35200288",3957.60
"35200289",2173.80
"35200290",2964.60
"35200291",3275.20
"35200292",5385.10
"35200293",8269.20
"35200294",2308.40
"35200297",6973.90
"35200298",5157.90
"35200300",25040.70
"35200301",2211.30
"35200302",2975.70
"35200303",5060.70
"35200304",2658.60
"35200305",3804.30
"35200306",3989.90
"35200307",6736.60
"35200308",2335.40
"35200309",3039.70
"35200310",6385.70
"35200313",0.00
"35200315",11305.30
"35200316",34808.10
"35200317",12236.80
"35200318",12611.50
"35200319",8566.50
"35200320",12772.40
"35200321",1903.80
"35200322",3475.80
"35200323",5204.00
"35200324",5775.60
"35200325",10474.60
"35200326",3527.70
"35200327",7243.70
"35200328",2675.50
"35200329",812.70
"35200330",886.70
"35200331",2858.20
"35200332",1360.90
"35200333",2815.00
"35200334",3435.40
"35200335",3263.20
"35200336",3440.00
"35200337",3771.50
"35200338",3426.90
"35200339",9577.90
"35200352",21332.30
"35200355",2934.80
"35200357",3156.60
"35200358",4285.70
"35200359",3833.80
"35200360",3773.40
"35200361",3268.40
"35200362",3606.20
"35200363",2421.50
"35200364",8141.00
"35200366",5899.80
"35200368",4846.80
"35200370",1582.20
"35200371",1662.70
"35200372",2128.00
"35200373",1387.90
"35200374",3942.70
"35200375",9969.50
"35200376",944.40
"35200377",1344.30
"35200378",2463.50
"35200379",2719.30
"35200380",3354.00
"35200381",8940.90
"35200382",8006.90
"35200383",4241.10
"35200384",2502.40
"35200385",3510.60
"35200386",1722.70
"35200387",3219.00
"35200388",3601.50
"35200389",555.80
"35200391",3181.00
"35200392",3951.60
"35200393",1276.50
"35200394",2756.70
"35200395",1925.40
"35200396",3258.90
"35200397",2808.00
"35200400",1324.60
"35200401",2965.70
"35200402",3154.70
"35200404",9003.80
"35200405",2885.70
"35200406",4936.50
"35200407",3144.80
"35200408",3531.40
"35200409",5778.90
"35200410",19750.50
"35200411",8685.10
"35200412",20156.40
"35200413",9222.40
"35200414",10998.10
"35200415",1833.70
"35200416",2736.30
"35200417",3225.10
"35200418",21700.80
"35200420",5300.40
"35200421",4943.30
"35200422",2380.70
"35200423",10786.50
"35200426",5404.80
"35200427",4816.80
"35200428",5575.30
"35200429",10515.90
"35200430",3306.70
"35200431",2925.70
"35200432",3092.70
"35200433",5099.60
"35200434",3326.10
"35200435",3503.00
"35200436",5897.90
"35200437",2902.60
"35200438",2929.00
"35200439",3886.20
"35200440",4995.00
"35200442",8379.30
"35200443",6783.90
"35200444",4957.80
"35200445",1653.70
"35200449",5712.60
"35200450",2590.50
"35200451",4317.30
"35200452",582.80
"35200453",2347.60
"35200454",2667.60
"35200455",3363.60
"35200456",14347.10
"35200459",3126.80
"35200460",15129.70
"35200463",9367.50
"35200464",6222.90
"35200465",4944.10
"35200466",4124.40
"35200467",4372.90
"35200468",686.00
"35200469",3834.00
"35200470",4563.50
"35200471",29044.60
"35200472",6162.80
"35200475",2288.20
"35200478",4808.40
"35200479",5028.10
"35200480",4347.80
"35200481",5332.40
"35200482",5974.80
"35200483",4460.90
"35200484",21310.50
"35200488",5120.30
"35200489",9623.70
"35200490",4710.60
"35200491",3618.30
"35200492",4676.60
"35200493",4231.80
"35200494",5170.50
"35200495",2869.10
"35200497",28818.20
"35200498",4160.60
"35200499",8895.20
"35200505",8824.70
"35200506",5329.70
"35200510",7495.60
"35200511",7158.40
"35200512",6782.80
"35200513",6988.20
"35200514",7580.10
"35200515",4423.80
"35200516",7458.50
"35200517",6983.90
"35200518",9252.30
"35200519",7044.70
"35200520",6615.00
"35200521",6542.40
"35200522",6450.50
"35200523",3644.40
"35200524",4416.40
"35200525",2447.90
"35200529",2822.30
"35200531",4126.50
"35200532",3944.30
"35200533",3611.50
"35200534",3211.00
"35200535",6470.60
"35200536",7028.20
"35200538",8573.10
"35200539",21921.40
"35200540",32631.60
"35200541",7061.60
"35200542",29017.30
"35200545",1992.20
"35200561",1109.20
"35200562",5524.90
"35200563",4181.20
"35200564",5916.90
"35200565",4587.30
"35200566",6011.40
"35200567",5995.90
"35200568",6752.70
"35200569",8955.20
"35200570",9594.30
"35200571",9142.90
"35200572",10195.00
"35200573",8288.90
"35200574",6908.50
"35200575",3200.50
"35200576",5601.80
"35200577",9022.40
"35200578",8731.70
"35200579",8700.80
"35200580",9650.50
"35200581",8865.20
"35200582",8995.50
"35200583",10485.60
"35200584",8097.60
"35200585",11169.20
"35200586",10421.20
"35200587",10665.70
"35200588",7816.70
"35200589",9580.20
"35200590",10822.50
"35200591",7448.50
"35200593",13143.90
"35200594",5843.70
"35200595",10518.00
"35200596",5885.20
"35200597",8240.50
"35200598",5926.50
"35200599",7607.80
"35200600",8714.90
"35200601",7306.30
"35200602",7125.00
"35200603",7801.80
"35200604",8531.60
"35200605",9589.00
"35200606",8823.50
"35200610",9439.50
"35200611",7245.20
"35200612",8309.50
"35200639",24389.90
"35200640",5511.20
"35200641",35614.00
"35200642",3203.00
"35200643",3857.80
"35200644",1506.90
"35200645",6022.90
"35200646",5815.50
"35200647",5782.80
"35200648",13162.00
"35200649",7958.00
"35200650",7868.50
"35200651",9407.90
"35200652",8117.50
"35200653",9365.40
"35200654",5724.10
"35200655",6087.50
"35200656",10371.30
"35200657",8811.70
"35200658",2773.90
"35200659",5387.60
"35200660",5204.20
"35200661",22500.00
"35200662",13992.80
"35200663",8704.80
"35200664",9543.10
"35200665",8678.30
"35200666",8636.90
"35200667",10283.20
"35200668",10450.20
"35200669",10887.60
"35200670",10057.50
"35200671",9414.40
"35200672",6529.30
"35200673",19119.50
"35200674",8267.70
"35200675",6406.60
"35200676",7388.80
"35200677",8881.20
"35200678",3346.30
"35200679",9718.80
"35200680",11304.90
"35200681",9674.10
"35200682",8966.90
"35200683",5062.20
"35200686",8629.80
"35200687",11746.40
"35200688",6583.90
"35200689",12653.10
"35200690",13151.10
"35200691",9527.00
"35200692",9356.70
"35200693",10771.00
"35200694",6361.60
"35200695",9361.40
"35200696",5582.60
"35200697",15443.80
"35200698",6965.50
"35200699",12167.60
"35200700",12531.10
"35200701",11816.00
"35200702",8448.00
"35200703",6266.10
"35200704",8408.40
"35200705",13922.40
"35200706",7086.60
"35200707",10368.40
"35200708",3274.90
"35200709",10096.00
"35200710",9240.50
"35200711",6946.10
"35200712",10475.50
"35200713",11580.30
"35200714",9253.40
"35200715",10244.50
"35200716",9554.30
"35200717",10397.40
"35200718",15684.10
"35200719",3076.20
"35200720",8659.50
"35200724",9382.50
"35200725",9193.10
"35200726",8357.00
"35200727",6430.40
"35200728",14133.30
"35200729",7474.30
"35200730",7618.00
"35200731",8990.30
"35200732",7438.10
"35200733",12402.70
"35200734",8371.60
"35200735",7913.70
"35200736",10914.50
"35200737",5607.70
"35200738",9129.60
"35200739",9677.90
"35200740",6456.00
"35200741",7772.30
"35200744",4371.00
"35200745",2129.40
"35200746",670.40
"35200747",1087.90
"35200748",5177.40
"35200749",4520.20
"35200750",3868.40
"35200751",1905.40
"35200752",2714.50
"35200753",3328.10
"35200754",3807.00
"35200755",17768.90
"35200756",39810.40
"35200757",8976.40
"35200768",17566.40
"35200769",18823.50
"35200770",21069.40
"35200771",27164.20
"35200772",20070.90
"35200774",12303.50
"35200782",29556.70
"35200783",25000.00
"35200791",3164.10
"35200792",1329.80
"35200794",8143.70
"35200795",7901.20
"35200796",10148.30
"35200797",7711.70
"35200798",9203.40
"35200801",50349.50
"35200802",10513.60
"35200803",17388.50
"35200804",203.30
"35200805",17684.30
"35200806",4470.90
"35200807",7695.30
"35200808",10859.40
"35200809",11168.80
"35200810",20991.00
"35200811",15873.80
"35200812",9788.10
"35200813",10092.30
"35200814",33507.70
"35200815",23052.60
"35200821",18958.30
"35200822",11965.70
"35200826",73557.00
"35200827",25460.10
"35200828",35094.30
"35200829",0.00
"35200830",21148.60
"35200831",33522.70
"35200832",2213.80
"35200833",9285.70
"35200855",2628.00
"35200859",10986.40
"35200860",26877.20
"35200861",8608.80
"35200862",11652.20
"35200863",12342.30
"35200864",4993.80
"35200865",21335.40
"35200866",11534.40
"35200867",26514.30
"35200868",12393.90
"35200869",13870.30
"35200870",12775.90
"35200876",7182.90
"35200877",9541.30
"35200878",47941.20
"35200879",11612.90
"35200880",14680.20
"35200881",12106.80
"35200882",15021.30
"35200883",11056.50
"35200884",12506.00
"35200885",12756.10
"35200886",12349.10
"35200887",11228.40
"35200888",6767.70
"35200889",16280.80
"35200890",11878.80
"35200891",14310.30
"35200892",9320.50
"35200893",10943.40
"35200894",11139.80
"35200895",10299.10
"35200896",9053.70
"35200897",7497.00
"35200898",15654.60
"35200899",7046.20
"35200900",55795.50
"35200901",8629.60
"35200902",9897.20
"35200903",7366.50
"35200905",6551.30
"35200906",14280.70
"35200907",10913.70
"35200908",9917.90
"35200909",9197.80
"35200910",15012.60
"35200911",9542.00
"35200912",8985.10
"35200913",10966.70
"35200914",7572.60
"35200915",10552.30
"35200916",8262.20
"35200917",11526.00
"35200918",11042.70
"35200919",11166.20
"35200920",8700.40
"35200921",10230.80
"35200922",8080.50
"35200923",10894.60
"35200924",10454.50
"35200925",8657.40
"35200926",11349.70
"35200927",3832.90
"35200928",12032.80
"35200929",11441.70
"35200930",16254.40
"35200931",10760.60
"35200932",12515.30
"35200933",13042.00
"35200934",13442.60
"35200935",7662.60
"35200936",13221.80
"35200937",14098.90
"35200938",8613.30
"35200939",4594.30
"35200940",11538.50
"35200941",9572.20
"35200942",16328.80
"35200943",8461.50
"35200944",3038.60
"35200945",9319.90
"35200946",14568.70
"35200949",11750.00
"35200950",11985.50
"35200951",12572.00
"35200952",5073.70
"35200953",11300.00
"35200954",13309.60
"35200955",16472.70
"35200956",11946.10
"35200957",16755.60
"35200958",9488.40
"35200959",10793.40
"35200960",5680.10
"35200961",10239.80
"35200962",6679.60
"35200963",7028.40
"35200965",13617.00
"35200966",14329.90
"35200967",16102.90
"35200968",24948.10
"35200969",3403.40
"35200974",7969.20
"35200975",11216.90
"35200976",10083.60
"35200977",10582.90
"35200979",4092.00
"35200981",21036.00
"35200983",20236.70
"35200985",5310.90
"35200986",13763.40
"35200987",6609.30
"35200988",10396.60
"35200989",9638.60
"35200990",7866.90
"35200991",13333.30
"35200992",12097.30
"35200993",10370.40
"35200994",9074.40
"35200995",6044.20
"35200996",10204.10
"35200997",8591.00
"35200998",10292.70
"35200999",6889.20
"35201000",10183.90
"35201001",12831.50
"35201002",14140.30
"35201003",12888.90
"35201004",9200.00
"35201005",12668.20
"35201006",13679.20
"35201007",9813.80
"35201008",10563.00
"35201009",10952.40
"35201010",9986.20
"35201011",5387.20
"35201012",11656.80
"35201013",10059.50
"35201014",10660.90
"35201015",12455.50
"35201016",9080.60
"35201017",10686.00
"35201018",10392.20
"35201019",11700.00
"35201020",12652.10
"35201023",12127.70
"35201024",7043.80
"35201025",6851.20
"35201026",11046.20
"35201027",11371.90
"35201028",12309.50
"35201029",6511.30
"35201030",8852.80
"35201031",14036.40
"35201032",20592.60
"35201033",19773.40
"35201034",6501.00
"35201035",9774.40
"35201036",16092.00
"35201038",24861.70
"35201039",10397.70
"35201040",6750.90
"35201041",11336.00
"35201044",4761.10
"35201045",20000.00
"35201046",17278.30
"35201047",9590.20
"35201048",10287.20
"35201049",7368.90
"35201050",10063.70
"35201051",62336.40
"35201052",15082.90
"35201053",12845.50
"35201054",13064.80
"35201055",22135.90
"35201056",24500.00
"35201057",14234.80
"35201058",21111.10
"35201059",10117.00
"35201060",10831.00
"35201061",8969.60
"35201062",5839.80
"35201063",8157.10
"35201064",7785.90
"35201065",11944.40
"35201066",8874.50
"35201067",8096.20
"35201068",14684.50
"35201069",6863.30
"35201070",10573.10
"35201071",14033.60
"35201072",3885.20
"35201073",5779.70
"35201076",5168.50
"35201077",3620.10
"35201078",10695.60
"35201079",6090.70
"35201080",5452.40
"35201081",4738.10
"35201104",11446.10
"35201105",9476.10
"35201106",9428.60
"35201107",30373.10
"35201109",14772.20
"35201110",11085.80
"35201111",5747.00
"35201112",8498.20
"35201113",9062.50
"35201114",6844.10
"35201122",8102.00
"35201123",8656.70
"35201124",8742.50
"35201125",8984.90
"35201126",8222.20
"35201127",9779.30
"35201128",9455.80
"35201129",6479.20
"35201130",10111.40
"35201131",8377.40
"35201132",8923.30
"35201133",10356.40
"35201134",10461.80
"35201139",9649.40
"35201140",10552.90
"35201141",10244.80
"35201142",10378.50
"35201143",10745.10
"35201144",7182.70
"35201145",9316.50
"35201146",8676.80
"35201147",10831.10
"35201148",8253.40
"35201149",9627.30
"35201150",8349.10
"35201151",8009.80
"35201152",8288.10
"35201153",5688.50
"35201154",7368.40
"35201155",8194.40
"35201156",11586.50
"35201157",8696.70
"35201158",3607.20
"35201159",7807.50
"35201160",10967.70
"35201161",40461.50
"35201162",11769.10
"35201163",3301.50
"35201164",4761.90
"35201165",5353.00
"35201166",7792.20
"35201167",40000.00
"35201168",8352.90
"35201169",11648.60
"35201170",5911.20
"35201171",9407.40
"35201172",7644.40
"35201173",11710.10
"35201174",9441.10
"35201175",10573.80
"35201176",11038.00
"35201177",11994.80
"35201178",12513.40
"35201179",8991.30
"35201180",6245.50
"35201181",10629.50
"35201182",8066.00
"35201185",10449.20
"35201186",12447.00
"35201187",10645.20
"35201188",6392.30
"35201191",7303.40
"35201192",8047.80
"35201193",8472.50
"35201194",7214.10
"35201195",8112.40
"35201196",8475.80
"35201197",6774.20
"35201198",3274.10
"35201199",5332.00
"35201200",8292.30
"35201201",8033.10
"35201202",7427.10
"35201203",6695.60
"35201204",10174.70
"35201205",7775.10
"35201206",7872.60
"35201209",10117.60
"35201210",6228.40
"35201211",9834.40
"35201212",5510.00
"35201213",2967.20
"35201214",2666.70
"35201215",18071.60
"35201216",2959.60
"35201217",864.60
"35201219",37606.20
"35201222",4703.60
"35201228",2544.10
"35201240",8070.60
"35201241",7787.60
"35201242",11692.30
"35201243",5227.60
"35201244",4351.40
"35201249",6666.70
"35201250",5970.60
"35201251",9509.50
"35201252",1820.10
"35201253",5409.50
"35201254",3347.40
"35201255",4871.50
"35201256",4287.30
"35201257",4811.80
"35201259",5659.90
"35201263",7726.30
"35201264",1575.50
"35201267",4202.30
"35201278",8598.00
"35201279",9741.00
"35201280",11804.90
"35201281",9281.60
"35201282",8078.00
"35201283",9785.20
"35201284",9317.10
"35201285",7405.30
"35201286",7945.70
"35201287",8702.10
"35201288",8163.60
"35201289",8604.70
"35201290",7983.50
"35201291",7110.40
"35201292",8386.60
"35201293",3194.30
"35201294",3488.10
"35201295",6938.80
"35201297",11589.10
"35201298",32891.20
"35201312",653.20
"35201313",5431.20
"35201314",7048.70
"35201315",9064.90
"35201316",8015.40
"35201317",7949.60
"35201318",7245.80
"35201319",8715.90
"35201320",9100.40
"35201321",8988.20
"35201322",8646.30
"35201323",10137.30
"35201324",8568.20
"35201325",9467.60
"35201326",10891.40
"35201327",26398.30
"35201328",9465.40
"35201329",17960.20
"35201331",11111.10
"35201332",18907.40
"35201333",19030.60
"35201334",52340.40
"35201337",26926.60
"35201338",23981.00
"35201339",14230.80
"35201347",10330.70
"35201348",10589.40
"35201349",9667.30
"35201350",8413.80
"35201351",10183.10
"35201352",9365.10
"35201353",9766.90
"35201354",9796.40
"35201355",10990.60
"35201356",7864.70
"35201357",13550.20
"35201358",8758.10
"35201359",7132.90
"35201360",11600.00
"35201361",9691.70
"35201362",26131.70
"35201363",10398.90
"35201364",7811.00
"35201365",10859.50
"35201368",8309.50
"35201369",6352.00
"35201370",9448.60
"35201371",9899.20
"35201372",5858.60
"35201373",9974.90
"35201374",6623.90
"35201375",6908.30
"35201376",10214.30
"35201377",8400.00
"35201378",7314.80
"35201379",6271.60
"35201380",5639.50
"35201381",745.60
"35201383",2320.40
"35201384",7564.90
"35201387",5083.30
"35201388",7758.40
"35201389",3097.60
"35201390",9067.80
"35201391",1459.40
"35201393",1550.80
"35201394",5274.00
"35201395",8578.90
"35201396",10543.90
"35201397",2974.00
"35201398",9410.50
"35201399",2450.30
"35201400",3099.70
"35201401",15971.30
"35201402",6072.50
"35201403",6320.80
"35201404",7891.70
"35201405",6925.40
"35201406",3441.80
"35201407",5952.60
"35201408",9808.80
"35201409",9477.40
"35201410",8406.70
"35201411",4729.20
"35201412",6351.40
"35201413",11870.30
"35201414",10842.60
"35201415",13663.40
"35201416",18951.60
"35201417",9945.10
"35201418",10897.40
"35201419",15197.60
"35201420",8731.30
"35201421",10538.90
"35201422",7262.50
"35201423",8465.20
"35201426",7680.10
"35201427",12991.90
"35201428",13353.90
"35201429",12194.00
"35201430",8790.30
"35201431",12465.80
"35201432",10285.70
"35201433",13266.90
"35201434",11288.30
"35201435",8084.70
"35201436",7211.40
"35201437",9072.20
"35201438",13054.20
"35201439",2584.40
"35201440",7021.00
"35201441",11538.50
"35201442",9621.90
"35201443",9898.00
"35201444",13848.80
"35201445",8578.10
"35201446",12460.70
"35201447",9896.90
"35201448",12897.40
"35201449",9174.30
"35201450",10224.10
"35201451",11580.60
"35201452",20734.10
"35201453",38698.80
"35201459",20802.10
"35201460",6402.40
"35201461",0.00
"35201463",32947.70
"35201464",22815.20
"35201466",820.50
"35201467",4526.60
"35201468",10893.10
"35201469",5391.30
"35201471",3262.30
"35201477",6506.20
"35201478",8167.90
"35201479",8536.60
"35201480",7627.40
"35201481",9457.50
"35201482",5570.10
"35201483",6242.60
"35201485",3734.70
"35201486",8307.70
"35201487",7453.00
"35201488",6755.90
"35201489",5935.10
"35201490",8613.10
"35201491",9010.10
"35201492",9017.20
"35201493",5712.00
"35201494",6418.90
"35201495",1661.60
"35201496",3193.10
"35201497",3622.40
"35201498",4001.90
"35201499",3223.20
"35201500",3714.10
"35201501",4333.90
"35201502",2785.90
"35201503",4516.10
"35201504",4664.80
"35201505",2267.60
"35201506",3390.60
"35201507",4137.20
"35201508",4407.40
"35201509",4339.20
"35201510",2836.00
"35201511",2914.50
"35201512",2761.00
"35201513",3865.70
"35201514",4228.10
"35201515",3440.30
"35201516",2929.70
"35201517",3029.30
"35201518",4210.10
"35201519",6931.70
"35201520",1746.90
"35201521",3363.60
"35201522",3008.80
"35201523",3507.10
"35201524",4335.30
"35201525",4182.10
"35201526",2485.60
"35201532",2330.10
"35201541",5217.00
"35201542",4792.00
"35201543",6477.30
"35201544",5821.80
"35201545",7211.30
"35201547",5386.60
"35201548",4644.30
"35201552",6961.00
"35201553",9095.30
"35201554",5702.40
"35201555",5954.70
"35201556",4180.90
"35201557",14633.40
"35201558",5916.70
"35201559",7994.60
"35201560",6103.40
"35201563",5567.80
"35201564",5133.80
"35201565",7171.60
"35201566",4009.00
"35201567",4642.90
"35201568",6106.60
"35201569",3850.20
"35201570",5421.10
"35201571",3892.10
"35201572",2871.30
"35201573",13494.80
"35201574",5264.40
"35201575",6627.10
"35201576",1595.50
"35201577",4177.60
"35201578",4513.20
"35201579",10845.10
"35201580",6586.70
"35201581",6762.30
"35201582",1125.50
"35201583",1741.40
"35201584",4881.20
"35201585",5005.30
"35201586",5673.60
"35201587",2660.30
"35201588",6406.70
"35201589",4751.70
"35201590",693.00
"35201591",5299.10
"35201592",3961.40
"35201593",854.70
"35201594",4590.20
"35201595",1134.40
"35201596",4623.40
"35201597",1209.80
"35201598",3245.30
"35201599",4230.50
"35201600",2254.40
"35201601",3407.00
"35201602",3225.30
"35201603",3728.70
"35201604",3859.80
"35201605",4002.10
"35201607",2763.20
"35201608",3799.30
"35201609",3133.90
"35201610",3052.10
"35201611",2679.90
"35201612",3432.20
"35201613",7197.10
"35201614",4416.70
"35201615",3312.10
"35201616",3839.20
"35201617",3188.20
"35201620",7554.30
"35201621",8254.80
"35201622",3562.50
"35201623",11655.10
"35201624",3762.00
"35201625",2638.80
"35201626",3084.90
"35201627",3665.40
"35201629",3695.90
"35201630",4373.10
"35201631",3253.10
"35201632",3791.10
"35201634",3158.80
"35201635",3504.70
"35201636",3530.00
"35201641",7276.60
"35201647",3072.20
"35201648",3204.90
"35201649",3110.40
"35201650",3551.30
"35201652",2178.10
"35201653",2185.90
"35201654",2963.40
"35201656",3197.00
"35201657",2191.70
"35201658",2958.90
"35201659",3528.20
"35201660",3440.30
"35201661",3851.90
"35201662",2141.70
"35201663",990.80
"35201664",1575.30
"35201665",693.60
"35201666",2600.80
"35201667",1784.80
"35201670",2433.50
"35201672",6944.10
